title,period,link,type,place,view,signup_status
禪坐共修,2025/01/02～2025/06/26,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402029,禪修,花蓮精舍,478,
禪坐共修,2025/01/02～2025/06/26,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402460,禪修,臺南雲集寺,369,
念佛共修,2025/01/09～2025/06/26,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402203,法會,臺南分院,367,
念佛共修,2025/01/02～2025/06/26,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402195,法會,中華佛教文化館,458,
念佛共修,2025/01/02～2025/06/26,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401870,法會,桃園齋明寺,335,
念佛共修,2025/01/02～2025/06/26,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401916,法會,中山精舍,509,
天臺心鑰,2025/02/13～2025/06/26,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402514,佛學,臺南分院,336,
經典講座-《參究六組壇經》,2025/02/20～2025/06/19,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401973,佛學,中山精舍,230,
印度聖地見聞分享(續),2025/05/29～2025/07/03,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500038,佛學,高雄紫雲寺,198,報名中
法鼓山社會大學新莊校區114年（第一期）春季班,2025/03/24～2025/06/30,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402323,禪藝生活,法鼓山社會大學服務中心新莊校區,1653,
花藝研習班,2025/01/09～2025/06/26,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402532,禪藝生活,臺中寶雲寺,602,
耕心田趣-野放茶園維護三芝班,2025/04/17～2025/10/02,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500172,禪藝生活,自然環保戶外教室(三芝),90,
居家花藝,2025/04/10～2025/07/03,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500160,禪藝生活,法鼓山社會大學服務中心金山校區,201,
手作療癒芭比娃娃衣—改良式旗袍,2025/03/27～2025/06/26,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500147,禪藝生活,法鼓山社會大學服務中心新莊校區,124,
遠距18-悅讀書法—明朝書法初探及文徵明書法賞析臨習,2025/03/27～2025/06/26,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500133,禪藝生活,法鼓德貴學苑,156,
心鏡映像—影片製作剪接應用班,2025/03/27～2025/07/03,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500152,禪藝生活,法鼓山社會大學服務中心新莊校區,165,
享受生活的樂趣-輕鬆學、快樂畫-樂齡色鉛筆,2025/03/27～2025/06/26,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500148,禪藝生活,法鼓德貴學苑,179,
歐風彩繪「花」現幸福,2025/03/27～2025/06/26,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500151,禪藝生活,法鼓山社會大學服務中心新莊校區,137,
金屬線創作與設計班,2025/04/10～2025/06/26,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500132,禪藝生活,新北市立圖書館萬里分館,148,
法鼓山社會大學北海校區114年（第一期）春季班,2025/03/24～2025/06/30,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402324,禪藝生活,法鼓山社會大學服務中心金山校區,782,
禪@創意氣球(第3班),2025/04/17～2025/06/19,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500200,禪藝生活,心靈環保學習中心,143,
中山安心小棧家庭照顧者紓壓療癒課程,2025/01/03～2025/06/27,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402271,社會關懷,其他,426,
銀髮族樂起來系列課程（一）,2025/03/24～2025/06/30,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402330,社會關懷,未定,587,
禪坐共修,2025/01/03～2025/06/27,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401894,禪修,基隆精舍,515,
禪坐共修,2025/01/03～2025/06/27,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401847,禪修,雲來寺,591,
禪坐靜心,2025/01/03～2025/06/27,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402425,禪修,心靈環保學習中心,518,
禪坐共修,2025/01/03～2025/06/27,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402218,禪修,法鼓德貴學苑,586,
念佛共修,2025/01/10～2025/06/27,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402431,法會,臺南雲集寺,207,
經典共修—《普賢菩薩行願讚》共修,2025/02/14～2025/06/20,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402206,法會,臺南分院,272,
念佛共修,2025/01/03～2025/06/27,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401878,法會,基隆精舍,448,
念佛共修,2025/01/03～2025/06/27,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402407,法會,臺中寶雲寺,702,
佛陀遺教,2025/03/28～2025/06/27,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402789,佛學,臺南分院,254,
經典講座-《華嚴經十地品》導讀,2025/02/21～2025/06/20,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401974,佛學,中山精舍,176,
禪@體適能(第4班),2025/04/25～2025/06/20,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500201,禪藝生活,心靈環保學習中心,370,
護法總會圓山分會【禪悅書法班】第二期,2025/04/18～2025/08/08,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500076,禪藝生活,圓山分會,299,
享受生活的樂趣－花甲咖啡新手入門班3,2025/03/28～2025/06/27,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500171,禪藝生活,新北市金美國小,120,
樂活養生太極37式,2025/03/28～2025/06/27,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500154,禪藝生活,法鼓山社會大學服務中心新莊校區,210,
斜槓人生—金屬線編織創業入門,2025/03/28～2025/06/27,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500158,禪藝生活,法鼓山社會大學服務中心新莊校區,177,
咖啡館微型創業金山班,2025/04/11～2025/07/04,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500139,禪藝生活,新北市金美國小,114,
《從心溝通》讀書會,2025/03/28～2025/07/04,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500156,禪藝生活,法鼓山社會大學服務中心新莊校區,137,
禪悅花藝,2025/04/11～2025/07/11,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500144,禪藝生活,雲來寺,152,
禪@健身氣功八段錦(A班),2025/06/20～2025/08/22,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202501155,禪藝生活,心靈環保學習中心,491,
香積義工養成班—蔬食調理,2025/03/28～2025/06/27,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500159,禪藝生活,法鼓山社會大學服務中心新莊校區,181,
青年梵唄共修,2025/05/02～2025/12/19,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202501099,培訓,桃園齋明別苑,204,
社區長者關懷,2025/01/03～2025/06/27,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401922,慈善公益,其他,323,
人生七十禪游戲~繼程法師講座,2025/06/20～2025/06/20,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202501268,座談,台北安和分院,107,報名中
2025六月份出坡禪,2025/06/04～2025/06/28,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402740,其他,桃園齋明寺,257,報名中
禪坐共修,2025/01/18～2025/06/28,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401935,禪修,桃園齋明寺,442,
禪修指引,2025/06/21～2025/06/21,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202501035,禪修,桃園齋明寺,439,報名中
禪坐共修,2025/01/04～2025/06/28,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402095,禪修,新竹精舍,647,
禪坐共修,2025/01/04～2025/06/28,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402408,禪修,臺南分院,502,
二日禪坐共修,2025/06/21～2025/06/21,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202501210,禪修,淡水分會,86,
念佛共修,2025/01/18～2025/06/28,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402411,法會,臺中寶雲寺,496,
大悲懺法會,2025/06/21～2025/06/21,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402405,法會,臺南分院,197,
菩薩戒誦戒會暨念佛共修,2025/01/18～2025/06/21,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401892,法會,新竹精舍,189,
絕妙說法,2025/05/24～2025/11/01,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402909,佛學,海山分會,250,
遠距18-初心禪繞畫,2025/03/29～2025/07/05,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500161,禪藝生活,其他,475,
禪藝班：插花供佛(池坊班),2025/02/15～2025/06/21,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402671,禪藝生活,新竹精舍,438,
泰山共修處-禪畫當下(禪繞畫),2025/03/15～2025/07/05,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500072,禪藝生活,泰山共修處,404,
皂藝-手工皂進階技術與技巧班,2025/04/12～2025/07/05,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500143,禪藝生活,新北市金美國小,119,
草月流插花班,2025/03/01～2025/07/05,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402541,禪藝生活,桃園齋明寺,172,
護法總會海線分會「花藝禪研習班」第五期,2025/03/22～2025/07/05,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500078,禪藝生活,海線分會,146,
護法總會員林分會兒童班【親子瑜伽】,2025/06/21～2025/12/06,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202501276,營隊,員林分會,128,報名中
開啟心中無盡藏,2025/06/07～2025/06/28,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202501165,其他,台北安和分院,180,報名中
教聯組日文課程第一期,2025/05/11～2025/12/27,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500894,其他,重陽分會,291,報名中
大悲懺法會,2025/06/22～2025/06/22,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402413,法會,臺中寶雲寺,326,
福田心靈環保讀書會,2025/01/12～2025/06/22,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402306,佛學,高雄紫雲寺,197,
青年太極拳班,2025/01/05～2025/06/29,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402182,禪藝生活,新竹精舍,487,報名中
耕心田趣－咖啡種植與烘焙三芝班,2025/04/20～2025/09/28,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500173,禪藝生活,自然環保戶外教室(三芝),101,
兒童營義工培訓,2025/06/22～2025/06/22,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202501117,培訓,中山精舍,110,
【講座】人生七十才開始,2025/06/22～2025/06/22,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202501300,座談,臺中寶雲寺,231,報名中
禪坐共修,2025/01/06～2025/06/30,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402251,禪修,桃園齋明別苑,762,
禪坐靜心,2025/01/06～2025/06/30,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402423,禪修,心靈環保學習中心,1082,
